,0,1,2,3,4,5,6,7,8,9
0,009150,011200,000720,006040,018670,007340,006650,004690,003060,010600
1,009150,011200,000720,006040,018670,007340,006650,004690,003060,010600
2,018670,007340,006650,003060,010600,011780,004990,030000,005880,004360
3,018670,007340,003060,010600,004990,030000,005880,000990,004690,001520
4,007340,010600,030000,005880,000990,004690,001520,000210,000490,004360
5,010600,030000,004690,001520,000210,000150,018670,001060,025620,002990
6,010600,030000,001520,001060,000660,011170,006260,007340,003240,001680
7,010600,001520,011170,006260,007340,003240,001680,000150,004690,025620
8,010600,001520,006260,007340,001680,025620,014680,000120,033240,002320
9,025620,014680,002320,011780,001440,001390,012030,003920,001790,003960
10,014680,011780,012030,003920,001790,028050,000880,000480,033240,003580
11,011780,012030,003920,003580,004020,000210,007340,001390,033180,025860
12,011780,004020,000210,007340,000880,003620,000480,003030,033240,001520
13,004020,000210,003030,033240,001520,011170,010140,000990,033180,004150
14,000210,003030,033240,001520,011170,010140,033180,000480,025620,012320
15,000210,003030,033240,001520,011170,010140,033180,000480,025620,000660
16,033240,001520,011170,033180,000480,000660,004020,000880,025860,012030
17,033240,000480,000660,004020,000880,025860,012030,010120,000230,000020
18,004020,000880,012030,010120,000230,009830,005850,004800,034120,003060
19,004020,010120,003060,003410,001390,004710,001780,025620,017810,009160
20,010120,003410,017810,010140,018880,000990,001040,009450,033180,004150
21,010120,017810,000990,001040,004170,026960,001120,007460,009160,002810
22,010120,017810,000990,001040,004170,001120,002810,010140,003240,013570
23,000990,001120,002810,013570,017670,003090,003030,003280,024720,012320
24,000990,013570,003090,003030,024720,009540,003410,006120,004000,003850
25,000990,003090,006120,004000,009830,001040,008730,002030,004430,025860
26,000990,004000,009830,001040,008730,025860,010140,018670,034120,016580
27,000990,008730,010140,034120,016580,036460,003240,003280,017810,000490
28,010140,034120,003240,017810,000490,010130,003410,007700,001040,000070
29,003240,017810,000490,010130,003410,001040,000070,005740,017940,000430
30,010130,001040,005740,026960,000150,016380,001430,029460,002990,002810
31,010130,001040,005740,026960,000150,029460,001680,004430,017940,005010
32,010130,026960,001680,009830,006120,011810,003030,004490,003580,024720
33,010130,001680,009830,006120,003030,024720,007860,009450,001390,001820
34,010130,009830,006120,007860,009450,001390,005090,003280,000490,002810
35,009450,001390,005090,000490,002810,000240,006040,005610,010780,001680
